                 6F --- 73: 00, 74: 08, 75: 02, 6F: 10, 70: 00
                 70 --- 73: 00, 74: 08, 75: 02, 6F: 10, 70: 00
                 74 --- 73: 00, 74: 07, 75: 02, 6F: 10, 70: 00
                 73 --- 73: 00, 74: 07, 75: 02, 6F: 10, 70: 00
                 6F --- 73: 00, 74: 07, 75: 02, 6F: 20, 70: 00
                 70 --- 73: 00, 74: 07, 75: 02, 6F: 20, 70: 00
READ  9D97 <- 04    --- 73: 00, 74: 07, 75: 02, 6F: 20, 70: 00
                 73 --- 73: 04, 74: 07, 75: 02, 6F: 20, 70: 00
                 74 --- 73: 04, 74: 06, 75: 02, 6F: 20, 70: 00
                 73 --- 73: 08, 74: 06, 75: 02, 6F: 20, 70: 00
                 6F --- 73: 08, 74: 06, 75: 02, 6F: 40, 70: 00
                 70 --- 73: 08, 74: 06, 75: 02, 6F: 40, 70: 00
                 74 --- 73: 08, 74: 05, 75: 02, 6F: 40, 70: 00
                 73 --- 73: 10, 74: 05, 75: 02, 6F: 40, 70: 00
                 6F --- 73: 10, 74: 05, 75: 02, 6F: 80, 70: 00
                 70 --- 73: 10, 74: 05, 75: 02, 6F: 80, 70: 00
                 74 --- 73: 10, 74: 04, 75: 02, 6F: 80, 70: 00
                 73 --- 73: 20, 74: 04, 75: 02, 6F: 80, 70: 00
                 6F --- 73: 20, 74: 04, 75: 02, 6F: 00, 70: 00
                 70 --- 73: 20, 74: 04, 75: 02, 6F: 00, 70: 01
                 74 --- 73: 20, 74: 03, 75: 02, 6F: 00, 70: 01
                 73 --- 73: 40, 74: 03, 75: 02, 6F: 00, 70: 01
                 6F --- 73: 40, 74: 03, 75: 02, 6F: 00, 70: 01
                 70 --- 73: 40, 74: 03, 75: 02, 6F: 00, 70: 02
                 74 --- 73: 40, 74: 02, 75: 02, 6F: 00, 70: 02
                 73 --- 73: 80, 74: 02, 75: 02, 6F: 00, 70: 02
                 6F --- 73: 80, 74: 02, 75: 02, 6F: 00, 70: 02
                 70 --- 73: 80, 74: 02, 75: 02, 6F: 00, 70: 04
                 74 --- 73: 80, 74: 01, 75: 02, 6F: 00, 70: 04
                 73 --- 73: 00, 74: 01, 75: 02, 6F: 00, 70: 04
                 6F --- 73: 00, 74: 01, 75: 02, 6F: 01, 70: 04
                 70 --- 73: 00, 74: 01, 75: 02, 6F: 01, 70: 08
                 74 --- 73: 00, 74: 00, 75: 02, 6F: 01, 70: 08
                 70 --- 73: 00, 74: 00, 75: 02, 6F: 01, 70: 00
   WRITE 60CA -> 30 --- 73: 00, 74: 00, 75: 02, 6F: 01, 70: 00
                 75 --- 73: 00, 74: 00, 75: 01, 6F: 01, 70: 00
   WRITE 60CB -> 00 --- 73: 00, 74: 00, 75: 01, 6F: 01, 70: 00
                 75 --- 73: 00, 74: 00, 75: 00, 6F: 01, 70: 00
                 74 --- 73: 00, 74: 01, 75: 00, 6F: 01, 70: 00
                 73 --- 73: 00, 74: 01, 75: 00, 6F: 01, 70: 00
                 6F --- 73: 00, 74: 01, 75: 00, 6F: 02, 70: 00
                 74 --- 73: 00, 74: 00, 75: 00, 6F: 02, 70: 00
                 74 --- 73: 00, 74: 08, 75: 00, 6F: 02, 70: 00
                 73 --- 73: 00, 74: 08, 75: 00, 6F: 02, 70: 00
                 6F --- 73: 00, 74: 08, 75: 00, 6F: 04, 70: 00
READ  9D98 <- 0C    --- 73: 00, 74: 08, 75: 00, 6F: 04, 70: 00
                 73 --- 73: 0C, 74: 08, 75: 00, 6F: 04, 70: 00
                 74 --- 73: 0C, 74: 07, 75: 00, 6F: 04, 70: 00
                 73 --- 73: 18, 74: 07, 75: 00, 6F: 04, 70: 00
                 6F --- 73: 18, 74: 07, 75: 00, 6F: 08, 70: 00
                 74 --- 73: 18, 74: 06, 75: 00, 6F: 08, 70: 00
                 73 --- 73: 30, 74: 06, 75: 00, 6F: 08, 70: 00
